StandardAnalyte,StationName,SampleDate,SampleType,SourceType,AnalysisGroup,SampleMedia,StandardResult,StandardUnit,FinalQualifier,StandardDetLimit
"Aluminum, dissolved",FE-4023,5/13/15,Primary,S,Metals,SW,40,ug/L,2,30
"Aluminum, total",FE-4023,5/13/15,Primary,S,Metals,SW,130,ug/L,2,30
"Arsenic, dissolved",FE-4023,5/13/15,Primary,S,Metals,SW,0.2,ug/L,U,0.2
"Arsenic, total",FE-4023,5/13/15,Primary,S,Metals,SW,1,ug/L,U,1
"Barium, dissolved",FE-4023,5/13/15,Primary,S,Metals,SW,19.9,ug/L,2,0.5
"Barium, total",FE-4023,5/13/15,Primary,S,Metals,SW,22,ug/L,2,3
"Cadmium, dissolved",FE-4023,5/13/15,Primary,S,Metals,SW,0.8,ug/L,2,0.1
"Cadmium, total",FE-4023,5/13/15,Primary,S,Metals,SW,0.9,ug/L,2,0.5
"Calcium, dissolved",FE-4023,5/13/15,Primary,S,Metals,SW,33700,ug/L,2,100
"Calcium, total",FE-4023,5/13/15,Primary,S,Metals,SW,34300,ug/L,2,100
Cation-Anion Balance,FE-4023,5/13/15,Primary,S,General Chemistry,SW,-2.4,%,2,-9999
"Chromium, dissolved",FE-4023,5/13/15,Primary,S,Metals,SW,0.5,ug/L,U,0.5
"Chromium, total",FE-4023,5/13/15,Primary,S,Metals,SW,3,ug/L,U,3
"Cobalt, dissolved",FE-4023,5/13/15,Primary,S,Metals,SW,0.4,ug/L,2,0.05
"Cobalt, total",FE-4023,5/13/15,Primary,S,Metals,SW,0.4,ug/L,2,0.3
"Copper, dissolved",FE-4023,5/13/15,Primary,S,Metals,SW,6.1,ug/L,2,0.5
"Copper, total",FE-4023,5/13/15,Primary,S,Metals,SW,10,ug/L,2,3
"Hardness as CaCO3, T",FE-4023,5/13/15,Primary,S,General Chemistry,SW,93000,ug/L,2,800
"Iron, dissolved",FE-4023,5/13/15,Primary,S,Metals,SW,20,ug/L,U,20
"Iron, total",FE-4023,5/13/15,Primary,S,Metals,SW,100,ug/L,J,20
"Lead, dissolved",FE-4023,5/13/15,Primary,S,Metals,SW,0.3,ug/L,2,0.1
"Lead, total",FE-4023,5/13/15,Primary,S,Metals,SW,2.6,ug/L,2,0.5
"Lithium, dissolved",FE-4023,5/13/15,Primary,S,Metals,SW,8,ug/L,U,8
"Lithium, total",FE-4023,5/13/15,Primary,S,Metals,SW,8,ug/L,U,8
"Magnesium, dissolved",FE-4023,5/13/15,Primary,S,Metals,SW,2200,ug/L,2,200
"Magnesium, total",FE-4023,5/13/15,Primary,S,Metals,SW,2300,ug/L,2,200
"Manganese, dissolved",FE-4023,5/13/15,Primary,S,Metals,SW,244,ug/L,2,5
"Manganese, total",FE-4023,5/13/15,Primary,S,Metals,SW,252,ug/L,2,5
"Molybdenum, dissolved",FE-4023,5/13/15,Primary,S,Metals,SW,0.8,ug/L,2,0.5
"Molybdenum, total",FE-4023,5/13/15,Primary,S,Metals,SW,3,ug/L,U,3
"Nickel, dissolved",FE-4023,5/13/15,Primary,S,Metals,SW,0.6,ug/L,U,0.6
"Nickel, total",FE-4023,5/13/15,Primary,S,Metals,SW,3,ug/L,U,3
"Potassium, dissolved",FE-4023,5/13/15,Primary,S,Metals,SW,600,ug/L,2,200
"Potassium, total",FE-4023,5/13/15,Primary,S,Metals,SW,600,ug/L,2,200
"TDS, measured",FE-4023,5/13/15,Primary,S,Physical,SW,138000,ug/L,2,10000
TSS,FE-4023,5/13/15,Primary,S,Physical,SW,5000,ug/L,U,5000
"Silica, dissolved",FE-4023,5/13/15,Primary,S,Metals,SW,5800,ug/L,2,200
"Silica, total",FE-4023,5/13/15,Primary,S,Metals,SW,6200,ug/L,J-,200
"Silver, dissolved",FE-4023,5/13/15,Primary,S,Metals,SW,0.3,ug/L,U,0.3
"Silver, total",FE-4023,5/13/15,Primary,S,Metals,SW,0.3,ug/L,U,0.3
"Sodium, dissolved",FE-4023,5/13/15,Primary,S,Metals,SW,1500,ug/L,2,200
"Sodium, total",FE-4023,5/13/15,Primary,S,Metals,SW,1600,ug/L,2,200
"Strontium, dissolved",FE-4023,5/13/15,Primary,S,Metals,SW,304,ug/L,2,5
"Strontium, total",FE-4023,5/13/15,Primary,S,Metals,SW,316,ug/L,2,5
Sum of Anions,FE-4023,5/13/15,Primary,S,General Chemistry,SW,2.1,meq/L,2,-9999
Sum of Cations,FE-4023,5/13/15,Primary,S,General Chemistry,SW,2,meq/L,2,-9999
"Alkalinity, Total",FE-4023,5/13/15,Primary,S,General Chemistry,SW,32400,ug/L,2,2000
"Vanadium, dissolved",FE-4023,5/13/15,Primary,S,Metals,SW,0.2,ug/L,U,0.2
"Vanadium, total",FE-4023,5/13/15,Primary,S,Metals,SW,1,ug/L,U,1
"Zinc, dissolved",FE-4023,5/13/15,Primary,S,Metals,SW,280,ug/L,2,10
"Zinc, total",FE-4023,5/13/15,Primary,S,Metals,SW,290,ug/L,2,10
Specific Conductance,FE-4023,5/13/15,Field Measurement,S,Physical,SW,189,uS/cm,1,-9999
ORP,FE-4023,5/13/15,Field Measurement,S,Physical,SW,123.8,mV,1,-9999
